       Velocity & Pressure of Stokes wave       at   0.12000
       Z/D         U         W         P
  -1.00000   0.04241   0.00000   0.01097
  -0.99000   0.04242   0.00085   0.01097
  -0.98000   0.04245   0.00169   0.01097
  -0.97000   0.04249   0.00254   0.01098
  -0.96000   0.04255   0.00338   0.01100
  -0.95000   0.04262   0.00423   0.01101
  -0.94000   0.04271   0.00508   0.01103
  -0.93000   0.04282   0.00594   0.01106
  -0.92000   0.04295   0.00679   0.01108
  -0.91000   0.04309   0.00765   0.01112
  -0.90000   0.04325   0.00850   0.01115
  -0.89000   0.04343   0.00937   0.01119
  -0.88000   0.04362   0.01023   0.01123
  -0.87000   0.04383   0.01110   0.01128
  -0.86000   0.04406   0.01197   0.01133
  -0.85000   0.04431   0.01285   0.01138
  -0.84000   0.04457   0.01373   0.01144
  -0.83000   0.04485   0.01462   0.01150
  -0.82000   0.04515   0.01551   0.01157
  -0.81000   0.04546   0.01641   0.01164
  -0.80000   0.04580   0.01731   0.01171
  -0.79000   0.04615   0.01822   0.01179
  -0.78000   0.04652   0.01914   0.01187
  -0.77000   0.04690   0.02006   0.01195
  -0.76000   0.04731   0.02099   0.01204
  -0.75000   0.04773   0.02193   0.01214
  -0.74000   0.04818   0.02288   0.01223
  -0.73000   0.04864   0.02383   0.01233
  -0.72000   0.04912   0.02479   0.01244
  -0.71000   0.04962   0.02576   0.01255
  -0.70000   0.05014   0.02674   0.01266
  -0.69000   0.05068   0.02773   0.01278
  -0.68000   0.05123   0.02873   0.01290
  -0.67000   0.05181   0.02974   0.01303
  -0.66000   0.05241   0.03076   0.01316
  -0.65000   0.05303   0.03179   0.01329
  -0.64000   0.05367   0.03284   0.01343
  -0.63000   0.05432   0.03389   0.01357
  -0.62000   0.05500   0.03496   0.01372
  -0.61000   0.05571   0.03604   0.01387
  -0.60000   0.05643   0.03713   0.01403
  -0.59000   0.05717   0.03823   0.01419
  -0.58000   0.05794   0.03935   0.01436
  -0.57000   0.05873   0.04049   0.01453
  -0.56000   0.05954   0.04163   0.01471
  -0.55000   0.06037   0.04280   0.01489
  -0.54000   0.06123   0.04398   0.01507
  -0.53000   0.06211   0.04517   0.01526
  -0.52000   0.06301   0.04638   0.01546
  -0.51000   0.06394   0.04761   0.01566
  -0.50000   0.06489   0.04885   0.01586
  -0.49000   0.06586   0.05011   0.01607
  -0.48000   0.06687   0.05139   0.01629
  -0.47000   0.06789   0.05269   0.01651
  -0.46000   0.06894   0.05401   0.01674
  -0.45000   0.07002   0.05534   0.01697
  -0.44000   0.07113   0.05670   0.01720
  -0.43000   0.07226   0.05808   0.01745
  -0.42000   0.07342   0.05947   0.01769
  -0.41000   0.07460   0.06089   0.01795
  -0.40000   0.07582   0.06233   0.01821
  -0.39000   0.07706   0.06380   0.01847
  -0.38000   0.07833   0.06528   0.01874
  -0.37000   0.07963   0.06679   0.01902
  -0.36000   0.08096   0.06833   0.01930
  -0.35000   0.08232   0.06989   0.01959
  -0.34000   0.08371   0.07147   0.01989
  -0.33000   0.08514   0.07308   0.02019
  -0.32000   0.08659   0.07472   0.02050
  -0.31000   0.08808   0.07638   0.02081
  -0.30000   0.08960   0.07807   0.02113
  -0.29000   0.09115   0.07979   0.02146
  -0.28000   0.09274   0.08154   0.02179
  -0.27000   0.09436   0.08332   0.02213
  -0.26000   0.09601   0.08513   0.02248
  -0.25000   0.09771   0.08697   0.02283
  -0.24000   0.09943   0.08884   0.02319
  -0.23000   0.10120   0.09075   0.02356
  -0.22000   0.10300   0.09268   0.02394
  -0.21000   0.10484   0.09465   0.02432
  -0.20000   0.10672   0.09666   0.02471
  -0.19000   0.10864   0.09870   0.02511
  -0.18000   0.11059   0.10077   0.02551
  -0.17000   0.11259   0.10289   0.02592
  -0.16000   0.11463   0.10504   0.02634
  -0.15000   0.11671   0.10723   0.02677
  -0.14000   0.11884   0.10946   0.02721
  -0.13000   0.12101   0.11173   0.02765
  -0.12000   0.12322   0.11404   0.02810
  -0.11000   0.12548   0.11639   0.02856
  -0.10000   0.12778   0.11878   0.02903
  -0.09000   0.13013   0.12122   0.02951
  -0.08000   0.13253   0.12370   0.03000
  -0.07000   0.13498   0.12623   0.03049
  -0.06000   0.13748   0.12881   0.03099
  -0.05000   0.14002   0.13143   0.03150
  -0.04000   0.14262   0.13410   0.03202
  -0.03000   0.14527   0.13682   0.03255
  -0.02000   0.14797   0.13959   0.03309
  -0.01000   0.15073   0.14242   0.03364
   0.00000   0.15354   0.14529   0.03420
