   Water surface elevation of Stokes wave    
     Theta       Eta
   0.00000   0.05285
   0.01000   0.05272
   0.02000   0.05235
   0.03000   0.05173
   0.04000   0.05086
   0.05000   0.04977
   0.06000   0.04844
   0.07000   0.04689
   0.08000   0.04514
   0.09000   0.04319
   0.10000   0.04106
   0.11000   0.03876
   0.12000   0.03630
   0.13000   0.03370
   0.14000   0.03099
   0.15000   0.02816
   0.16000   0.02523
   0.17000   0.02224
   0.18000   0.01917
   0.19000   0.01606
   0.20000   0.01292
   0.21000   0.00976
   0.22000   0.00659
   0.23000   0.00344
   0.24000   0.00030
   0.25000  -0.00281
   0.26000  -0.00587
   0.27000  -0.00888
   0.28000  -0.01183
   0.29000  -0.01470
   0.30000  -0.01749
   0.31000  -0.02019
   0.32000  -0.02279
   0.33000  -0.02528
   0.34000  -0.02767
   0.35000  -0.02994
   0.36000  -0.03208
   0.37000  -0.03410
   0.38000  -0.03598
   0.39000  -0.03773
   0.40000  -0.03934
   0.41000  -0.04081
   0.42000  -0.04212
   0.43000  -0.04329
   0.44000  -0.04431
   0.45000  -0.04518
   0.46000  -0.04588
   0.47000  -0.04644
   0.48000  -0.04683
   0.49000  -0.04707
   0.50000  -0.04715
   0.51000  -0.04707
   0.52000  -0.04683
   0.53000  -0.04644
   0.54000  -0.04588
   0.55000  -0.04518
   0.56000  -0.04431
   0.57000  -0.04329
   0.58000  -0.04212
   0.59000  -0.04081
   0.60000  -0.03934
   0.61000  -0.03773
   0.62000  -0.03598
   0.63000  -0.03410
   0.64000  -0.03208
   0.65000  -0.02994
   0.66000  -0.02767
   0.67000  -0.02528
   0.68000  -0.02279
   0.69000  -0.02019
   0.70000  -0.01749
   0.71000  -0.01470
   0.72000  -0.01183
   0.73000  -0.00888
   0.74000  -0.00587
   0.75000  -0.00281
   0.76000   0.00030
   0.77000   0.00344
   0.78000   0.00659
   0.79000   0.00976
   0.80000   0.01292
   0.81000   0.01606
   0.82000   0.01917
   0.83000   0.02224
   0.84000   0.02523
   0.85000   0.02816
   0.86000   0.03099
   0.87000   0.03370
   0.88000   0.03630
   0.89000   0.03876
   0.90000   0.04106
   0.91000   0.04319
   0.92000   0.04514
   0.93000   0.04689
   0.94000   0.04844
   0.95000   0.04977
   0.96000   0.05086
   0.97000   0.05173
   0.98000   0.05235
   0.99000   0.05272
   1.00000   0.05285
